ods_code,name,alt_names,predecessor_codes,merger_date,region,correspondent,url,url_root,cluster_id,cluster_meeting_url,notes,access_notes,needs_playwright,pack_pattern_hints,exclude_patterns,last_validated,validation_status,validation_notes
QYG,Cheshire and Merseyside ICB,,,,North West,,https://www.cheshireandmerseyside.nhs.uk/get-involved/meeting-and-event-archive/nhs-cheshire-and-merseyside-integrated-care-board/,https://www.cheshireandmerseyside.nhs.uk,,,,"Strategy: 3-LEVEL navigation. Landing → year sub-page at /{YYYY}/ (eg /2026/) → per-meeting sub-page at /{DD-month-YYYY}/ (lowercase month, hyphen-separated, eg /29-january-2026/) → PDFs in /media/{8-char-hash}/{filename}.pdf. Multiple PDFs per meeting (full pack + Q&A + presentations) — grab all. Filenames are NOT predictable (some DDMMYY, some monthYYYY, some YYYYMM) — must scrape from the DOM. Upcoming meetings sit at /get-involved/upcoming-meetings-and-events/... until archived. C&M ICB publishes standalone (not a joint cluster board, despite regional cluster framing). System Primary Care Committee PDFs are a SEPARATE committee — exclude. Not JS-rendered; static HTML throughout.",False,full pack; agenda and papers; combined,questions and responses; presentations; System Primary Care Committee; Committee,2026-05-29,papers_found,16 in-window meetings via 3-level drill-down. May 2026 and March 2026 packs (4.3MB + 5.3MB) both have BAF sections — scores 87 and 367.
QOP,Greater Manchester ICB,NHS Greater Manchester,,,North West,,https://gmintegratedcare.org.uk/meetings-and-events/,https://gmintegratedcare.org.uk,,,,"Pattern A: the meetings-and-events landing page is static HTML and lists Greater Manchester Integrated Care Board meetings as dated rows, each with a 'View Agenda' link pointing directly at a combined board papers PDF in the WordPress uploads tree (https://gmintegratedcare.org.uk/wp-content/uploads/YYYY/MM/...). Each ICB Board meeting links to ONE combined papers PDF (e.g. '...integrated-care-board-papers.pdf' or '...public-combined-papers...pdf'), so no per-meeting sub-page crawl is needed. The page mixes ICB Board with other event types (ICP / committees), so filter rows to those naming the 'Integrated Care Board'. Note the upload-year folder in the URL does not always match the meeting year (a Dec 2025 pack was filed under /2026/02/).",False,wp-content/uploads/YYYY/MM/*integrated-care-board-papers*.pdf;wp-content/uploads/YYYY/MM/*combined-papers*.pdf;View Agenda link on each dated ICB Board row,ICP;Integrated Care Partnership;Committee;Scrutiny,2026-06-04,papers_found,"Static landing page lists dated ICB Board meetings each linking a single combined papers PDF, confirmed for Nov and Dec 2025."
QE1,Lancashire and South Cumbria ICB,,,,North West,,https://www.lancashireandsouthcumbria.icb.nhs.uk/about-us/board/meetings-and-papers,https://www.lancashireandsouthcumbria.icb.nhs.uk,,,Some papers historically hosted on healthierlsc.co.uk via download_file links,,,,,,,
QHM,North East and North Cumbria ICB,,,,North East and Yorkshire,,https://northeastnorthcumbria.nhs.uk/about-us/corporate-information/governance/meetings-and-agendas/integrated-care-board/,https://northeastnorthcumbria.nhs.uk,,,,"KEEP this URL - it holds no PDFs itself but it is the only page carrying BOTH the forward meeting schedule AND a link to the current/next meeting's own page where the pack lands, so it works as a one-hop hub. Repointing to /previous-board-meetings/ would blind a crawler to upcoming packs. Strategy: fetch the landing, follow any href matching board-meeting-held-in-public-* for the current pack, and separately follow /previous-board-meetings/ (24 dated links, July 2022 to March 2026) for backfill. Each per-meeting page carries 23-46 SEPARATE /media/{8-char-hash}/item-NN-*.pdf files - there is NO consolidated board pack, so a pack analyser must pull them all. Slugs are unguessable: the weekday is embedded inconsistently (...on-wednesday-29-july-2026, ...on-tuesday-31-march-2026, ...tuesday-25-march-2025 with no 'on', ...28-november-2023 with no weekday) - always scrape hrefs, never construct them. Filter on the board-meeting-held-in-public- prefix to isolate the ICB Board: the ICP lives under /previous-integrated-care-partnership-icp-meetings/ and AGMs under /annual-general-meetings/, and the 29 July 2026 AGM ran immediately before the Board on the same day. Beware: extraordinary board meetings (16 June 2026, 12 February 2026) are never archived - they surface only as draft-minutes items inside the next ordinary pack. Umbraco CMS, plain server-rendered HTML, no JS and no anti-bot; sitemap.xml 404s. Re-verified 2026-09-12 by browser-UA curl (200, 35KB): landing intact, newest held meeting 29 July 2026 and dates scheduled to 31 March 2027; papers remain one hop deeper on the per-meeting sub-pages, which is the standing reason for the partial score.",False,item-NN numbered agenda PDFs;CEO Board Report;Finance update;BAF;board-meeting-held-in-public- slug,ICP / Integrated Care Partnership meetings;Annual General Meeting papers;draft minutes of prior meetings,2026-09-19,papers_found,Re-confirmed 2026-09-19 via WebFetch: hub works as documented - links the current meeting page (board-meeting-held-in-public-on-wednesday-29-july-2026) and the Previous Board meetings archive. papers_partial reflects that the hub holds no PDFs itself.
QOQ,Humber and North Yorkshire ICB,,,,North East and Yorkshire,,https://humberandnorthyorkshire.icb.nhs.uk/meetings-and-papers/,https://humberandnorthyorkshire.icb.nhs.uk,,,,"Strategy: landing lists per-meeting entries (39 dated meeting links this run); each links to its own sub-page of PDFs (agenda, papers, finance). Filter to the main Board (skip ICP/committee/joint). Prefer the largest 'Agenda and Papers' combined PDF. Static fetch works. Pattern C.",False,Agenda and Papers;Combined Pack;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=2, meeting_subpages=39."
QF7,South Yorkshire ICB,,,,North East and Yorkshire,,https://southyorkshire.icb.nhs.uk/our-information/meetings-and-papers,https://southyorkshire.icb.nhs.uk,,,Papers PDFs are hosted on syics.co.uk,,,,,,,
QWO,West Yorkshire ICB,,,,North East and Yorkshire,,https://www.westyorkshire.icb.nhs.uk/meetings/integrated-care-board,https://www.westyorkshire.icb.nhs.uk,,,"Papers hosted on wypartnership.co.uk; place-level papers also published separately by each of the 5 places (Wakefield, Leeds, Bradford, Calderdale, Kirklees)","Strategy: landing lists per-meeting entries (27 dated meeting links this run); each links to its own sub-page of PDFs (agenda, papers, finance). Filter to the main Board (skip ICP/committee/joint). Prefer the largest 'Agenda and Papers' combined PDF. Static fetch works. Pattern C.",False,Agenda and Papers;Combined Pack;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=2, meeting_subpages=27."
QHL,Birmingham and Solihull ICB,,,,Midlands,,https://www.birminghamsolihull.icb.nhs.uk/about-us/our-committees/integrated-care-board/integrated-care-board-papers/,https://www.birminghamsolihull.icb.nhs.uk,BSOL-BC,https://www.birminghamsolihull.icb.nhs.uk/about-us/our-committees/integrated-care-board/integrated-care-board-papers/,Joint ICB Cluster Board with Black Country (QUA); joint pack hosted under the B&S domain,"Strategy: landing lists year archives (5 'Board papers 20XX' year links). The year-link URLs are Concrete CMS navigate endpoints (.../navigate/13363/NNNN) that load via AJAX — static fetch returns no PDFs from the year pages. Playwright + interactive_dom strategy (render landing, click year tabs, re-scrape DOM) recovers 9 in-window meetings. PDF titles: 'ICB Board Pack {Month YYYY}' / 'Joint ICB Cluster Board Meeting - {Month YYYY}'.",True,ICB Board Pack; Joint ICB Cluster Board Meeting; Board Papers,Committee; Q&A; Confidential; Part 2,2026-05-29,needs_playwright,"Year archives are Concrete CMS AJAX navigate endpoints. Playwright + click-each-year-tab required. March 2026 (16MB, BAF score 414) and May 2026 (9MB) packs recovered."
QUA,Black Country ICB,,,,Midlands,,https://blackcountry.icb.nhs.uk/about-us/how-we-make-decisions,https://blackcountry.icb.nhs.uk,BSOL-BC,https://www.birminghamsolihull.icb.nhs.uk/about-us/our-committees/integrated-care-board/integrated-care-board-papers/,Joint ICB Cluster Board with Birmingham and Solihull (QHL); cluster pack PDFs hosted on blackcountryics.org.uk under /application/files/,"Static-fetchable landing ('How we make decisions') with a single table of the formal public Board (the 'Joint ICB Cluster Board', which is Black Country ICB's board) meeting ~six times a year. Columns: Date / Venue / 'Link to papers (available following each meeting)'. Each dated row carries a 'Download papers for {date}' link to a combined papers PDF hosted on the legacy blackcountryics.org.uk domain (/download_file/view/{id}/475). Pattern A — no year folders or per-meeting sub-pages. Links only appear after each meeting has taken place, so future dates may have no link yet. This page lists ONLY the Board, so include all rows, but EXCLUDE the separately-listed committees (Audit and Governance, Joint Finance and Performance, Joint Quality, Joint Strategic Commissioning, Joint Transition, Joint Remuneration), the Place Committees, the AGM, and any ICP listing.",False,Download papers for {DD Month Year};blackcountryics.org.uk/download_file/view/{id}/475;Joint ICB Cluster Board,Audit and Governance Committee;Joint Finance and Performance Committee;Joint Quality Committee;Joint Strategic Commissioning Committee;Joint Transition Committee;Joint Remuneration Committee;Place Committees;Integrated Care Partnership;ICP;AGM,2026-06-13,papers_found,Confirmed dated Board entries e.g. 'Download papers for 08 December 2025' (blackcountryics.org.uk/download_file/view/4017/475) and '11 May 2026' (/download_file/view/4236/475).
QWU,Coventry and Warwickshire ICB,,,,Midlands,,https://www.happyhealthylives.uk/integrated-care-board/about-us/icb-board-meetings/,https://www.happyhealthylives.uk,CW-HW,https://www.happyhealthylives.uk/integrated-care-board/about-us/icb-board-meetings/,Joint Board Meeting in Common with Herefordshire and Worcestershire (QGH),"The URL is correct and live. Route picture as of 2026-09-26: local browser-UA curl reaches it cleanly (HTTP 200, 56KB) and - importantly - the raw HTML already contains every paper href, so the local static path is sufficient and Playwright is NOT required (needs_playwright dropped to false this run). Server-side WebFetch is the route that is blocked here (ECONNRESET / 403); Playwright also works if you need it, so never read a block on one route as proof the page is unreachable. The org runs as the CWHW cluster (Coventry & Warwickshire + Herefordshire & Worcestershire), so packs are labelled 'CWHW ICB Board', 'Public Board', or the legacy 'CWICB Board'. Papers are NOT a single combined pack: each agenda item is its own file under /download/clientfiles/files/ named 'Agenda {NN}[{i}] {Title} {D Mon YY}.pdf', with 'Agenda 00 ... Agenda' the agenda itself, and a few items (the board governance log) are .xlsx rather than PDF. The page renders as per-meeting accordions but the hrefs sit in the static HTML, so harvest all /download/clientfiles/files/ links and group them by the meeting date carried in the filename. Forward schedule currently 16 September 2026, 18 November 2026, 20 January 2027, 17 March 2027; the July meeting doubles as the AGM ('AGM & Public Board 15 July 26'). Google site:happyhealthylives.uk plus the file path remains the fastest way to surface one specific pack.",False,/download/clientfiles/files/Agenda%20{NN}%20{Title}%20{D}%20{Mon}%20{YY}.pdf;'Agenda 00 ... Agenda' = the agenda itself;'Public Board';'CWHW ICB Board';legacy 'CWICB Board',Governance Log (.xlsx);'Board Notes';draft minutes;Annual Report;ICP / Integrated Care Partnership;(1) duplicate-suffixed files,2026-09-26,papers_found,"Re-confirmed 2026-09-26 via local browser-UA curl (HTTP 200, 56KB, title 'ICB Board Meetings - Happy Healthy Lives'): per-agenda-item PDFs current to the 16 September 2026 public board, forward dates listed to 17 March 2027. needs_playwright dropped to false because the raw HTML already carries every paper href. Server-side WebFetch was ECONNRESET this run."
