ods_code,name,alt_names,predecessor_codes,merger_date,region,correspondent,url,url_root,cluster_id,cluster_meeting_url,notes,access_notes,needs_playwright,pack_pattern_hints,exclude_patterns,last_validated,validation_status,validation_notes
QYG,Cheshire and Merseyside ICB,,,,North West,,https://www.cheshireandmerseyside.nhs.uk/get-involved/meeting-and-event-archive/nhs-cheshire-and-merseyside-integrated-care-board/,https://www.cheshireandmerseyside.nhs.uk,,,,"Strategy: 3-LEVEL navigation. Landing → year sub-page at /{YYYY}/ (eg /2026/) → per-meeting sub-page at /{DD-month-YYYY}/ (lowercase month, hyphen-separated, eg /29-january-2026/) → PDFs in /media/{8-char-hash}/{filename}.pdf. Multiple PDFs per meeting (full pack + Q&A + presentations) — grab all. Filenames are NOT predictable (some DDMMYY, some monthYYYY, some YYYYMM) — must scrape from the DOM. Upcoming meetings sit at /get-involved/upcoming-meetings-and-events/... until archived. C&M ICB publishes standalone (not a joint cluster board, despite regional cluster framing). System Primary Care Committee PDFs are a SEPARATE committee — exclude. Not JS-rendered; static HTML throughout.",False,full pack; agenda and papers; combined,questions and responses; presentations; System Primary Care Committee; Committee,2026-05-29,papers_found,16 in-window meetings via 3-level drill-down. May 2026 and March 2026 packs (4.3MB + 5.3MB) both have BAF sections — scores 87 and 367.
QOP,Greater Manchester ICB,NHS Greater Manchester,,,North West,,https://gmintegratedcare.org.uk/meetings-and-events/,https://gmintegratedcare.org.uk,,,,"Pattern A: the meetings-and-events landing page is static HTML and lists Greater Manchester Integrated Care Board meetings as dated rows, each with a 'View Agenda' link pointing directly at a combined board papers PDF in the WordPress uploads tree (https://gmintegratedcare.org.uk/wp-content/uploads/YYYY/MM/...). Each ICB Board meeting links to ONE combined papers PDF (e.g. '...integrated-care-board-papers.pdf' or '...public-combined-papers...pdf'), so no per-meeting sub-page crawl is needed. The page mixes ICB Board with other event types (ICP / committees), so filter rows to those naming the 'Integrated Care Board'. Note the upload-year folder in the URL does not always match the meeting year (a Dec 2025 pack was filed under /2026/02/).",False,wp-content/uploads/YYYY/MM/*integrated-care-board-papers*.pdf;wp-content/uploads/YYYY/MM/*combined-papers*.pdf;View Agenda link on each dated ICB Board row,ICP;Integrated Care Partnership;Committee;Scrutiny,2026-06-04,papers_found,"Static landing page lists dated ICB Board meetings each linking a single combined papers PDF, confirmed for Nov and Dec 2025."
QE1,Lancashire and South Cumbria ICB,,,,North West,,https://www.lancashireandsouthcumbria.icb.nhs.uk/about-us/board/meetings-and-papers,https://www.lancashireandsouthcumbria.icb.nhs.uk,,,Some papers historically hosted on healthierlsc.co.uk via download_file links,,,,,,,
QHM,North East and North Cumbria ICB,,,,North East and Yorkshire,,https://northeastnorthcumbria.nhs.uk/about-us/corporate-information/governance/meetings-and-agendas/integrated-care-board/,https://northeastnorthcumbria.nhs.uk,,,,"North East and North Cumbria ICB. Current landing page is correct and live; it lists upcoming ICB Board dates (16 Jun 2026, 28 Jul 2026, 29 Sep 2026) and links to per-meeting sub-pages plus a 'Previous Board meetings' archive (pattern C). The most recent held meeting (Tuesday 31 March 2026) has its own sub-page where the agenda and individual board-pack PDFs are hosted on the nencicb.nhs.uk/media/ CDN (e.g. 20260331-board-in-public-agenda.pdf). Validator's papers_partial reflects that the landing page itself surfaces only one meeting sub-page rather than dated PDFs; the per-meeting sub-page resolves to the full pack. This is the ICB Board, not ICP or a committee.",False,/board-meeting-held-in-public-on-{day}-{month}-{year}/;nencicb.nhs.uk/media/<id>/<YYYYMMDD>-board-in-public-agenda.pdf;/previous-board-meetings/,ICP;Integrated Care Partnership;Committee;Place,2026-06-04,papers_found,31 March 2026 ICB Board meeting sub-page resolves to a full set of dated board-pack PDFs on the nencicb.nhs.uk media CDN.
QOQ,Humber and North Yorkshire ICB,,,,North East and Yorkshire,,https://humberandnorthyorkshire.icb.nhs.uk/meetings-and-papers/,https://humberandnorthyorkshire.icb.nhs.uk,,,,"Strategy: landing lists per-meeting entries (39 dated meeting links this run); each links to its own sub-page of PDFs (agenda, papers, finance). Filter to the main Board (skip ICP/committee/joint). Prefer the largest 'Agenda and Papers' combined PDF. Static fetch works. Pattern C.",False,Agenda and Papers;Combined Pack;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=2, meeting_subpages=39."
QF7,South Yorkshire ICB,,,,North East and Yorkshire,,https://southyorkshire.icb.nhs.uk/our-information/meetings-and-papers,https://southyorkshire.icb.nhs.uk,,,Papers PDFs are hosted on syics.co.uk,,,,,,,
QWO,West Yorkshire ICB,,,,North East and Yorkshire,,https://www.westyorkshire.icb.nhs.uk/meetings/integrated-care-board,https://www.westyorkshire.icb.nhs.uk,,,"Papers hosted on wypartnership.co.uk; place-level papers also published separately by each of the 5 places (Wakefield, Leeds, Bradford, Calderdale, Kirklees)","Strategy: landing lists per-meeting entries (27 dated meeting links this run); each links to its own sub-page of PDFs (agenda, papers, finance). Filter to the main Board (skip ICP/committee/joint). Prefer the largest 'Agenda and Papers' combined PDF. Static fetch works. Pattern C.",False,Agenda and Papers;Combined Pack;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=2, meeting_subpages=27."
QHL,Birmingham and Solihull ICB,,,,Midlands,,https://www.birminghamsolihull.icb.nhs.uk/about-us/our-committees/integrated-care-board/integrated-care-board-papers/,https://www.birminghamsolihull.icb.nhs.uk,BSOL-BC,https://www.birminghamsolihull.icb.nhs.uk/about-us/our-committees/integrated-care-board/integrated-care-board-papers/,Joint ICB Cluster Board with Black Country (QUA); joint pack hosted under the B&S domain,"Strategy: landing lists year archives (5 'Board papers 20XX' year links). The year-link URLs are Concrete CMS navigate endpoints (.../navigate/13363/NNNN) that load via AJAX — static fetch returns no PDFs from the year pages. Playwright + interactive_dom strategy (render landing, click year tabs, re-scrape DOM) recovers 9 in-window meetings. PDF titles: 'ICB Board Pack {Month YYYY}' / 'Joint ICB Cluster Board Meeting - {Month YYYY}'.",True,ICB Board Pack; Joint ICB Cluster Board Meeting; Board Papers,Committee; Q&A; Confidential; Part 2,2026-05-29,needs_playwright,"Year archives are Concrete CMS AJAX navigate endpoints. Playwright + click-each-year-tab required. March 2026 (16MB, BAF score 414) and May 2026 (9MB) packs recovered."
QUA,Black Country ICB,,,,Midlands,,https://blackcountry.icb.nhs.uk/about-us/how-we-make-decisions,https://blackcountry.icb.nhs.uk,BSOL-BC,https://www.birminghamsolihull.icb.nhs.uk/about-us/our-committees/integrated-care-board/integrated-care-board-papers/,Joint ICB Cluster Board with Birmingham and Solihull (QHL); cluster pack PDFs hosted on blackcountryics.org.uk under /application/files/,,,,,,,
QWU,Coventry and Warwickshire ICB,,,,Midlands,,https://www.happyhealthylives.uk/integrated-care-board/about-us/icb-board-meetings/,https://www.happyhealthylives.uk,CW-HW,https://www.happyhealthylives.uk/integrated-care-board/about-us/icb-board-meetings/,Joint Board Meeting in Common with Herefordshire and Worcestershire (QGH),"Coventry and Warwickshire ICB. The current URL is correct and live, but the happyhealthylives.uk host returns HTTP 403 to plain WebFetch (anti-bot, pattern E), which is why the validator flagged it broken. Loaded successfully under Playwright (location.host=www.happyhealthylives.uk): the page is a shared NHS Coventry & Warwickshire / Herefordshire & Worcestershire ICB Board site and renders current 2026 ICB Board content (CWHW ICB Board Governance Log 2026-27, draft public minutes 18 March 2026, 21 January 2026 papers). Per-meeting 'Meeting Papers' / agenda items are JS-driven accordions (anchors are href='#'); the underlying PDFs/xlsx live under /download/clientfiles/files/ and require JS expansion, so this is also pattern D (JS-needs-Playwright). This is the ICB Board (skip the separate ICP Meetings page). For HSJ purposes the CW and HW ICBs share this board infrastructure.",True,/download/clientfiles/files/Agenda%20<NN>%20CWHW%20...pdf;/download/clientfiles/files/...Governance%20Log%20<YYYY-YY>.xlsx;JS accordion 'Meeting Papers (part 1/2/3)' under each meeting date,ICP;ICP Meetings;Integrated Care Partnership;Committee;CAMHS Commissioning,2026-06-04,needs_playwright,"Page is 403 to WebFetch but loads in Playwright showing live 2026 CWHW ICB Board papers (Governance Log 2026-27, 18 March 2026 minutes); pack PDFs sit behind JS accordions."
